Datetime,CO(GT),NMHC(GT),C6H6(GT),NOx(GT),NO2(GT),T,RH,AH,hour,weekday,month,is_weekend
2004-03-10 18:00:00,2.6,150.0,11.9,166.0,113.0,13.6,48.9,0.7578,18,2,3,0
2004-03-10 19:00:00,2.0,112.0,9.4,103.0,92.0,13.3,47.7,0.7255,19,2,3,0
2004-03-10 20:00:00,2.2,88.0,9.0,131.0,114.0,11.9,54.0,0.7502,20,2,3,0
2004-03-10 21:00:00,2.2,80.0,9.2,172.0,122.0,11.0,60.0,0.7867,21,2,3,0
2004-03-10 22:00:00,1.6,51.0,6.5,131.0,116.0,11.2,59.6,0.7888,22,2,3,0
2004-03-10 23:00:00,1.2,38.0,4.7,89.0,96.0,11.2,59.2,0.7848,23,2,3,0
2004-03-11 00:00:00,1.2,31.0,3.6,62.0,77.0,11.3,56.8,0.7603,0,3,3,0
2004-03-11 01:00:00,1.0,31.0,3.3,62.0,76.0,10.7,60.0,0.7702,1,3,3,0
2004-03-11 02:00:00,0.9,24.0,2.3,45.0,60.0,10.7,59.7,0.7648,2,3,3,0
2004-03-11 03:00:00,0.6,19.0,1.7,33.0,47.0,10.3,60.2,0.7517,3,3,3,0
2004-03-11 04:00:00,0.6499999999999999,14.0,1.3,21.0,34.0,10.1,60.5,0.7465,4,3,3,0
2004-03-11 05:00:00,0.7,8.0,1.1,16.0,28.0,11.0,56.2,0.7366,5,3,3,0
2004-03-11 06:00:00,0.7,16.0,1.6,34.0,48.0,10.5,58.1,0.7353,6,3,3,0
2004-03-11 07:00:00,1.1,29.0,3.2,98.0,82.0,10.2,59.6,0.7417,7,3,3,0
2004-03-11 08:00:00,2.0,64.0,8.0,174.0,112.0,10.8,57.4,0.7408,8,3,3,0
2004-03-11 09:00:00,2.2,87.0,9.5,129.0,101.0,10.5,60.6,0.7691,9,3,3,0
2004-03-11 10:00:00,1.7,77.0,6.3,112.0,98.0,10.8,58.4,0.7552,10,3,3,0
2004-03-11 11:00:00,1.5,43.0,5.0,95.0,92.0,10.5,57.9,0.7352,11,3,3,0
2004-03-11 12:00:00,1.6,61.0,5.2,104.0,95.0,9.5,66.8,0.7951,12,3,3,0
2004-03-11 13:00:00,1.9,63.0,7.3,146.0,112.0,8.3,76.4,0.8393,13,3,3,0
2004-03-11 14:00:00,2.9,164.0,11.5,207.0,128.0,8.0,81.1,0.8736,14,3,3,0
2004-03-11 15:00:00,2.2,79.0,8.8,184.0,126.0,8.3,79.8,0.8778,15,3,3,0
2004-03-11 16:00:00,2.2,95.0,8.3,193.0,131.0,9.7,71.2,0.8569,16,3,3,0
2004-03-11 17:00:00,2.9,150.0,11.2,243.0,135.0,9.8,67.6,0.8185,17,3,3,0
2004-03-11 18:00:00,4.8,307.0,20.8,281.0,151.0,10.3,64.2,0.8065,18,3,3,0
2004-03-11 19:00:00,6.9,461.0,27.4,383.0,172.0,9.7,69.3,0.8319,19,3,3,0
2004-03-11 20:00:00,6.1,401.0,24.0,351.0,165.0,9.6,67.8,0.8133,20,3,3,0
2004-03-11 21:00:00,3.9,197.0,12.8,240.0,136.0,9.1,64.0,0.7419,21,3,3,0
2004-03-11 22:00:00,1.5,61.0,4.7,94.0,85.0,8.2,63.4,0.6905,22,3,3,0
2004-03-11 23:00:00,1.0,26.0,2.6,47.0,53.0,8.2,60.8,0.6657,23,3,3,0
2004-03-12 00:00:00,1.7,55.0,5.9,122.0,97.0,8.3,58.5,0.6438,0,4,3,0
2004-03-12 01:00:00,1.9,53.0,6.4,133.0,110.0,7.7,59.7,0.6308,1,4,3,0
2004-03-12 02:00:00,1.4,40.0,4.1,82.0,91.0,7.1,61.8,0.6276,2,4,3,0
2004-03-12 03:00:00,0.8,21.0,1.9,51.5,61.5,7.0,62.3,0.6261,3,4,3,0
2004-03-12 04:00:00,0.7,10.0,1.1,21.0,32.0,6.1,65.9,0.6248,4,4,3,0
2004-03-12 05:00:00,0.6,7.0,1.0,30.0,44.0,6.3,65.0,0.6233,5,4,3,0
2004-03-12 06:00:00,0.8,17.0,1.8,56.0,71.0,6.8,62.9,0.6234,6,4,3,0
2004-03-12 07:00:00,1.4,33.0,4.4,109.0,104.0,6.4,65.1,0.6316,7,4,3,0
2004-03-12 08:00:00,4.4,202.0,17.9,307.0,141.0,7.3,63.1,0.6499,8,4,3,0
2004-03-12 09:00:00,3.75,205.0,22.1,247.0,131.5,9.2,56.2,0.6561,9,4,3,0
2004-03-12 10:00:00,3.1,208.0,14.0,187.0,122.0,13.2,41.7,0.632,10,4,3,0
2004-03-12 11:00:00,2.7,166.0,11.6,216.0,143.0,14.3,38.4,0.6243,11,4,3,0
2004-03-12 12:00:00,2.1,114.0,10.2,143.0,113.0,15.0,36.5,0.6195,12,4,3,0
2004-03-12 13:00:00,2.5,140.0,11.0,160.0,116.0,16.1,34.5,0.6262,13,4,3,0
2004-03-12 14:00:00,2.7,169.0,12.8,163.0,123.0,16.3,35.7,0.656,14,4,3,0
2004-03-12 15:00:00,2.9,185.0,14.2,190.0,126.0,15.8,37.0,0.661,15,4,3,0
2004-03-12 16:00:00,2.8,165.0,12.7,178.0,120.0,15.9,37.2,0.6657,16,4,3,0
2004-03-12 17:00:00,2.4,133.0,11.7,150.0,119.0,16.9,34.3,0.6549,17,4,3,0
2004-03-12 18:00:00,3.9,233.0,19.3,206.0,149.0,15.1,39.6,0.6766,18,4,3,0
2004-03-12 19:00:00,3.7,242.0,18.2,202.0,145.0,14.4,43.4,0.7084,19,4,3,0
2004-03-12 20:00:00,6.6,488.0,32.6,340.0,170.0,12.9,50.5,0.7478,20,4,3,0
2004-03-12 21:00:00,4.4,333.0,20.1,274.0,149.0,12.1,53.3,0.7536,21,4,3,0
2004-03-12 22:00:00,3.5,215.0,14.3,253.0,139.0,11.0,59.1,0.774,22,4,3,0
2004-03-12 23:00:00,5.4,367.0,21.8,300.0,134.0,9.7,64.6,0.7771,23,4,3,0
2004-03-13 00:00:00,2.7,122.0,9.6,193.0,113.0,9.5,64.1,0.7597,0,5,3,1
2004-03-13 01:00:00,1.9,67.0,7.4,139.0,97.0,9.1,63.9,0.7423,1,5,3,1
2004-03-13 02:00:00,1.6,43.0,5.4,83.0,82.0,8.8,63.9,0.7256,2,5,3,1
2004-03-13 03:00:00,1.7,46.0,5.4,96.0,82.5,7.8,67.5,0.7173,3,5,3,1
2004-03-13 04:00:00,1.35,56.0,6.2,109.0,83.0,7.0,71.1,0.7158,4,5,3,1
2004-03-13 05:00:00,1.0,30.0,2.6,62.0,65.0,8.3,63.6,0.6982,5,5,3,1
2004-03-13 06:00:00,1.2,27.0,2.9,53.0,60.0,7.2,67.5,0.6887,6,5,3,1
2004-03-13 07:00:00,1.5,47.0,5.1,139.0,77.0,6.3,71.9,0.6932,7,5,3,1
2004-03-13 08:00:00,2.7,132.0,11.8,256.0,96.0,6.5,71.6,0.6945,8,5,3,1
2004-03-13 09:00:00,3.7,239.0,15.1,295.0,119.0,9.6,59.7,0.7124,9,5,3,1
2004-03-13 10:00:00,3.2,160.0,12.9,250.0,126.0,12.4,51.2,0.7335,10,5,3,1
2004-03-13 11:00:00,4.1,283.0,16.1,296.0,158.0,15.6,42.2,0.7451,11,5,3,1
2004-03-13 12:00:00,3.6,210.0,14.0,239.0,161.0,18.4,33.8,0.709,12,5,3,1
2004-03-13 13:00:00,2.8,154.0,12.3,153.0,124.0,19.4,31.3,0.695,13,5,3,1
2004-03-13 14:00:00,2.0,112.0,8.6,118.0,102.0,18.0,34.8,0.7127,14,5,3,1
2004-03-13 15:00:00,2.0,108.0,9.2,119.0,116.0,18.4,33.6,0.7042,15,5,3,1
2004-03-13 16:00:00,2.5,111.0,10.2,138.0,124.0,17.6,35.1,0.7012,16,5,3,1
2004-03-13 17:00:00,2.3,97.0,10.6,148.0,125.0,16.7,37.8,0.7117,17,5,3,1
2004-03-13 18:00:00,3.2,191.0,15.5,227.0,148.0,16.1,41.0,0.7451,18,5,3,1
2004-03-13 19:00:00,4.2,258.0,19.6,277.0,165.0,15.8,42.4,0.7569,19,5,3,1
2004-03-13 20:00:00,4.2,284.0,19.2,279.0,161.0,15.7,44.1,0.7786,20,5,3,1
2004-03-13 21:00:00,4.2,269.0,18.3,283.0,159.0,15.3,46.8,0.8091,21,5,3,1
2004-03-13 22:00:00,3.1,180.0,13.1,214.0,143.0,14.6,48.6,0.806,22,5,3,1
2004-03-13 23:00:00,2.6,116.0,10.9,172.0,130.0,14.7,49.3,0.8193,23,5,3,1
2004-03-14 00:00:00,2.9,93.0,11.0,190.0,129.0,13.9,53.6,0.8498,0,6,3,1
2004-03-14 01:00:00,2.8,131.0,11.9,174.0,119.0,14.6,51.5,0.8536,1,6,3,1
2004-03-14 02:00:00,2.5,92.0,8.6,128.0,104.0,12.5,58.9,0.8537,2,6,3,1
2004-03-14 03:00:00,2.4,132.0,9.7,99.0,93.0,11.6,63.4,0.8674,3,6,3,1
2004-03-14 04:00:00,1.7999999999999998,56.0,5.2,70.0,82.0,12.1,61.1,0.8603,4,6,3,1
2004-03-14 05:00:00,1.2,32.0,3.7,53.0,70.0,11.5,63.1,0.8533,5,6,3,1
2004-03-14 06:00:00,1.0,29.0,2.5,44.0,63.0,11.6,62.2,0.8473,6,6,3,1
2004-03-14 07:00:00,0.9,27.0,2.4,74.0,67.0,10.4,67.6,0.853,7,6,3,1
2004-03-14 08:00:00,1.4,36.0,4.2,101.0,84.0,11.6,62.7,0.853,8,6,3,1
2004-03-14 09:00:00,1.6,57.0,6.4,118.0,83.0,12.4,60.0,0.8627,9,6,3,1
2004-03-14 10:00:00,2.2,129.0,8.6,144.0,98.0,14.5,53.1,0.8728,10,6,3,1
2004-03-14 11:00:00,2.8,148.0,10.9,176.0,114.0,16.9,46.1,0.8789,11,6,3,1
2004-03-14 12:00:00,2.8,145.0,10.7,161.0,119.0,19.3,38.3,0.8474,12,6,3,1
2004-03-14 13:00:00,2.0,93.0,7.5,113.0,104.0,21.2,31.4,0.7812,13,6,3,1
2004-03-14 14:00:00,1.8,84.0,7.5,103.0,102.0,21.4,30.2,0.7616,14,6,3,1
2004-03-14 15:00:00,1.9,99.0,8.2,112.0,107.0,21.9,29.0,0.7525,15,6,3,1
2004-03-14 16:00:00,3.0,150.0,11.9,170.0,129.0,22.2,28.4,0.7516,16,6,3,1
2004-03-14 17:00:00,2.9,156.0,12.0,180.0,128.0,21.3,30.8,0.7696,17,6,3,1
2004-03-14 18:00:00,2.5,122.0,12.2,160.0,121.0,19.7,36.7,0.8307,18,6,3,1
2004-03-14 19:00:00,4.6,262.0,20.6,261.0,157.0,18.4,41.7,0.8732,19,6,3,1
2004-03-14 20:00:00,5.9,341.0,23.1,325.0,173.0,17.6,46.1,0.921,20,6,3,1
2004-03-14 21:00:00,3.4,214.0,14.7,217.0,146.0,16.7,49.6,0.932,21,6,3,1
2004-03-14 22:00:00,2.1,100.0,9.0,146.0,121.0,16.3,51.0,0.9341,22,6,3,1
2004-03-14 23:00:00,2.2,79.0,8.8,152.0,119.0,14.7,55.9,0.9314,23,6,3,1
2004-03-15 00:00:00,1.8,66.0,7.4,104.0,99.0,14.8,54.7,0.9164,0,0,3,0
2004-03-15 01:00:00,1.8,73.0,6.9,106.0,93.0,14.0,57.0,0.9094,1,0,3,0
2004-03-15 02:00:00,1.8,66.0,7.0,108.0,88.0,13.4,61.3,0.9361,2,0,3,0
2004-03-15 03:00:00,1.1,44.0,4.4,87.0,79.5,12.6,63.5,0.923,3,0,3,0
2004-03-15 04:00:00,1.05,44.0,4.0,66.0,71.0,12.3,65.4,0.9351,4,0,3,0
2004-03-15 05:00:00,1.0,39.0,3.9,88.0,74.0,11.9,67.4,0.9375,5,0,3,0
2004-03-15 06:00:00,1.4,51.0,6.4,138.0,80.0,11.4,70.5,0.9475,6,0,3,0
2004-03-15 07:00:00,2.2,107.0,9.7,228.0,89.0,11.3,70.2,0.9401,7,0,3,0
2004-03-15 08:00:00,5.5,336.0,25.9,360.0,114.0,12.4,63.9,0.917,8,0,3,0
2004-03-15 09:00:00,8.1,618.0,36.7,478.0,149.0,14.8,54.3,0.9076,9,0,3,0
2004-03-15 10:00:00,5.8,438.0,26.6,394.0,157.0,17.4,45.6,0.8993,10,0,3,0
2004-03-15 11:00:00,4.2,334.0,20.1,319.0,155.0,19.8,38.5,0.8801,11,0,3,0
2004-03-15 12:00:00,3.1,221.0,14.1,201.0,134.0,22.0,34.1,0.8904,12,0,3,0
2004-03-15 13:00:00,2.9,207.0,14.9,171.0,119.0,23.3,32.2,0.9096,13,0,3,0
2004-03-15 14:00:00,2.9,191.0,15.4,159.0,111.0,23.9,30.0,0.8757,14,0,3,0
2004-03-15 15:00:00,2.5,185.0,12.1,153.0,104.0,24.4,28.9,0.8736,15,0,3,0
2004-03-15 16:00:00,2.3,141.0,11.5,143.0,99.0,24.4,29.4,0.8848,16,0,3,0
2004-03-15 17:00:00,2.8,214.0,14.8,156.0,110.0,23.8,31.3,0.9137,17,0,3,0
2004-03-15 18:00:00,6.1,471.0,32.1,314.0,162.0,22.5,35.4,0.9547,18,0,3,0
2004-03-15 19:00:00,8.0,685.0,39.2,404.0,187.0,20.4,42.5,1.0086,19,0,3,0
2004-03-15 20:00:00,6.5,538.0,31.0,320.0,165.0,18.3,52.6,1.0945,20,0,3,0
2004-03-15 21:00:00,4.2,319.0,19.9,256.0,145.0,16.7,57.4,1.0786,21,0,3,0
2004-03-15 22:00:00,3.2,224.0,15.3,193.0,125.0,15.7,60.2,1.0654,22,0,3,0
2004-03-15 23:00:00,1.4,67.0,6.9,89.0,101.0,15.3,61.4,1.058,23,0,3,0
2004-03-16 00:00:00,2.1,155.0,11.1,127.0,103.0,14.1,65.7,1.0494,0,1,3,0
2004-03-16 01:00:00,1.2,49.0,5.4,79.0,88.0,14.8,60.6,1.0148,1,1,3,0
2004-03-16 02:00:00,0.8,29.0,2.8,43.0,61.0,14.8,59.2,0.9879,2,1,3,0
2004-03-16 03:00:00,0.7,25.0,2.3,51.0,60.0,13.6,62.1,0.9636,3,1,3,0
2004-03-16 04:00:00,0.6499999999999999,25.0,2.6,59.0,59.0,12.3,66.2,0.945,4,1,3,0
